ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600036.SH,20260409,39.48,39.52,39.12,39.26,39.62,-0.36,-0.9086,535854.05,2104306.041
600036.SH,20260408,39.5,39.64,39.19,39.62,38.99,0.63,1.6158,669497.89,2643490.434
600036.SH,20260407,39.39,39.6,38.96,38.99,39.4,-0.41,-1.0406,528366.61,2071766.646
600036.SH,20260403,39.76,39.82,39.36,39.4,39.76,-0.36,-0.9054,464485.37,1835962.093
600036.SH,20260402,39.86,39.92,39.58,39.76,39.82,-0.06,-0.1507,534629.88,2124222.801
600036.SH,20260401,39.56,40.04,39.42,39.82,39.32,0.5,1.2716,881525.81,3510509.345
600036.SH,20260331,39.54,39.73,39.28,39.32,39.48,-0.16,-0.4053,663096.71,2617257.387
600036.SH,20260330,39.24,39.57,39.13,39.48,39.44,0.04,0.1014,646054.1,2544968.867
600036.SH,20260327,39.5,39.7,39.25,39.44,39.56,-0.12,-0.3033,468006.71,1846335.951
600036.SH,20260326,39.15,39.69,39.14,39.56,39.26,0.3,0.7641,616790.07,2437289.721
600036.SH,20260325,39.33,39.4,38.94,39.26,39.25,0.01,0.0255,653816.69,2556622.045
600036.SH,20260324,38.8,39.32,38.73,39.25,38.68,0.57,1.4736,616336.42,2408674.586
000333.SZ,20260427,79.24,80.15,79.01,79.5,79.66,-0.16,-0.2009,258511.62,2060818.397
000333.SZ,20260424,79.56,80.2,79.46,79.66,79.85,-0.19,-0.2379,217880.11,1740580.503
000333.SZ,20260423,79.29,80.15,78.73,79.85,79.3,0.55,0.6936,299432.46,2388456.633
000333.SZ,20260422,79.5,79.63,78.87,79.3,79.5,-0.2,-0.2516,202781.6,1606990.585
000333.SZ,20260421,79.75,80.08,79.2,79.5,79.58,-0.08,-0.1005,238792.88,1903225.382
000333.SZ,20260420,78.4,79.9,78.05,79.58,78.65,0.93,1.1825,276699.79,2201771.534
000333.SZ,20260417,78.18,79.25,77.84,78.65,77.9,0.75,0.9628,277352.36,2181684.923
000333.SZ,20260416,77.77,78.44,77.4,77.9,77.49,0.41,0.5291,238078.03,1853913.748
000333.SZ,20260415,76.55,77.88,76.2,77.49,76.55,0.94,1.228,318450.72,2461286.853
