关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接,股票代码,股票名称
000333,中际旭创蝉联主动权益基金头号重仓股 药明康德顶替寒武纪跻身前十,反观减持端，部分前期涨幅较高的半导体与消费龙头则面临获利了结压力，北方华创（002371.SZ）、天孚通信（300394.SZ）、美的集团（000333.SZ）、沪电股份（002463.SZ）以及恒瑞医药（600276.SH）均遭遇了主动权益基金的减持操作。,2026-04-23 17:43:00,澎湃新闻,http://finance.eastmoney.com/a/202604233716159050.html,000333,美的集团
000333,分红哪家强? 26只股股息率超5%,5.10 家用电器 601717 中创智领 1.25 5.09 机械设备 600461 洪城环境 0.47 5.04 环保 600741 华域汽车 1.00 5.00 汽车 601107 四川成渝 0.30 4.88 交通运输 000404 长虹华意 0.33 4.87 家用电器 000333,2026-04-20 09:29:00,证券时报网,http://finance.eastmoney.com/a/202604203710163612.html,000333,美的集团
000333,股息率排行榜：117只股连续三年股息率超3%,4.54 5.00 汽车 600863 华能蒙电 4.74 5.08 4.91 公用事业 603788 宁波高发 4.02 5.06 4.90 汽车 601107 四川成渝 5.47 5.54 4.88 交通运输 000404 长虹华意 4.24 4.05 4.87 家用电器 000333,2026-04-24 09:24:00,证券时报网,http://finance.eastmoney.com/a/202604243717470149.html,000333,美的集团
000333,股息率排行榜：106只股连续三年股息率超3%,4.54 5.00 汽车 600863 华能蒙电 4.74 5.08 4.91 公用事业 603788 宁波高发 4.02 5.06 4.90 汽车 601107 四川成渝 5.47 5.54 4.88 交通运输 000404 长虹华意 4.24 4.05 4.87 家用电器 000333,2026-04-23 09:43:00,证券时报网,http://finance.eastmoney.com/a/202604233715591097.html,000333,美的集团
000333,分红哪家强? 26只股股息率超5%,4.82 4.66 5.04 环保 600741 华域汽车 4.61 4.54 5.00 汽车 603788 宁波高发 4.02 5.06 4.90 汽车 601107 四川成渝 5.47 5.54 4.88 交通运输 000404 长虹华意 4.24 4.05 4.87 家用电器 000333,2026-04-22 09:48:00,证券时报网,http://finance.eastmoney.com/a/202604223713701855.html,000333,美的集团
000333,股息率排行榜：71只股连续三年股息率超3%,5.13 交通运输 000921 海信家电 1.27 5.10 家用电器 601717 中创智领 1.25 5.09 机械设备 600461 洪城环境 0.47 5.04 环保 600741 华域汽车 1.00 5.00 汽车 601107 四川成渝 0.30 4.88 交通运输 000333,2026-04-17 09:20:00,证券时报网,http://finance.eastmoney.com/a/202604173708414177.html,000333,美的集团
600900,11.60亿元主力资金今日抢筹公用事业板块,主力资金流量（万元） 601016 节能风电 10.07 14.28 69243.49 600726 华电能源 10.02 4.69 34649.86 601778 晶科科技 9.94 23.19 34347.75 000537 绿发电力 10.01 6.89 27625.14 600900,2026-04-23 16:41:00,证券时报网,http://finance.eastmoney.com/a/202604233716054089.html,600900,长江电力
600900,2.94亿元资金今日流出公用事业股,（数据宝） 公用事业行业资金流入榜 代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 600396 华电辽能 10.01 20.61 44584.79 600900 长江电力 1.08 0.37 23803.25 000539 粤电力A 9.98 4.58,2026-04-21 16:46:00,证券时报网,http://finance.eastmoney.com/a/202604213712346264.html,600900,长江电力
600900,7.36亿元主力资金今日抢筹公用事业板块,（数据宝） 公用事业行业资金流入榜 代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 001896 豫能控股 10.01 15.58 46914.24 600900 长江电力 1.74 0.39 27097.14 600744 华银电力 7.73 11.33,2026-04-20 16:43:00,证券时报网,http://finance.eastmoney.com/a/202604203710652273.html,600900,长江电力
600900,长江电力：一季度六座梯级电站总发电量618.25亿千瓦时 同比增加7.19%,中证智能财讯长江电力（600900）4月10日公布2026年第一季度发电量完成情况。根据公司初步统计，2026年第一季度，公司境内所属六座梯级电站总发电量约618.25亿千瓦时，较上年同期增加7.19%。,2026-04-10 09:13:29,中国证券报·中证网,http://finance.eastmoney.com/a/202604103700548627.html,600900,长江电力
600900,长江电力：一季度公司境内所属六座梯级电站总发电量同比增长7.19%,每经AI快讯，长江电力6009004月9日公告，根据公司初步统计，2026年第一季度，乌东德水库来水总量约154.75亿立方米，较上年同期偏枯7.36%；三峡水库来水总量约585.68亿立方米，较上年同期偏丰5.49%。,2026-04-09 15:42:53,每日经济新闻,http://finance.eastmoney.com/a/202604093699544233.html,600900,长江电力
600900,长江电力：一季度公司境内所属六座梯级电站总发电量同比增长7.19%,人民财讯4月9日电，长江电力6009004月9日公告，根据公司初步统计，2026年第一季度，乌东德水库来水总量约154.75亿立方米，较上年同期偏枯7.36%；三峡水库来水总量约585.68亿立方米，较上年同期偏丰5.49%。,2026-04-09 15:39:00,证券时报网,http://finance.eastmoney.com/a/202604093699547575.html,600900,长江电力
600900,22.83亿元资金今日流入公用事业股,1.10 -2169.22 001331 胜通能源 -7.58 7.10 -2104.59 600995 南网储能 0.29 0.61 -1922.91 600795 国电电力 0.00 0.53 -1788.73 002053 云南能投 -0.36 1.16 -1639.83 600900,2026-04-13 22:28:00,证券时报网,http://finance.eastmoney.com/a/202604133703340018.html,600900,长江电力
600900,41股获杠杆资金净买入超亿元,有色金属 002384 东山精密 8.83 14494.90 687917.28 3.46 电子 000657 中钨高新 -0.35 14246.73 242544.24 3.41 有色金属 300548 长芯博创 -3.48 14123.61 226422.56 3.76 通信 600900,2026-04-13 09:24:00,证券时报网,http://finance.eastmoney.com/a/202604133702442258.html,600900,长江电力
600900,长江电力：公司将于4月30日披露《2025年年度报告》,长江电力（600900.SH）4月3日在投资者互动平台表示，公司将于4月30日披露《2025年年度报告》，敬请关注。,2026-04-03 18:20:09,每日经济新闻,http://finance.eastmoney.com/a/202604033695073492.html,600900,长江电力
600900,33股获融资客大手笔净买入,电力设备 300395 菲利华 -2.06 10338.95 315815.72 6.30 国防军工 600938 中国海油 2.52 10257.70 207045.33 1.81 石油石化 000977 浪潮信息 3.81 10112.70 426566.01 4.47 计算机 600900,2026-04-10 09:13:00,证券时报网,http://finance.eastmoney.com/a/202604103700537885.html,600900,长江电力
601088,中国神华601088.SH)：2026年一季报净利润为106.67亿元、同比较去年同期下降10.73%,2026年4月25日，中国神华601088.SH)发布2026年一季报。 公司营业总收入为703.97亿元，较去年同报告期营业总收入增加8.12亿元，同比较去年同期上涨1.17%。,2026-04-25 10:23:17,界面新闻,http://finance.eastmoney.com/a/202604253718946593.html,601088,中国神华
601088,中国神华一季度营收微增1.2% 归母净利润同比下滑10.7%,4月24日，中国神华601088.SH)发布公告显示，2026年第一季度公司实现营业收入703.97亿元，较上年同期增长1.2%；归属于上市公司股东的净利润为106.67亿元，同比下降10.7%。业绩变动主要系售电量增长导致售电收入增加。（央广财经）,2026-04-25 19:12:53,央广财经,http://finance.eastmoney.com/a/202604253719087549.html,601088,中国神华
601088,中国神华2026年一季度归母净利润106.67亿元 同比下降10.7%,4月24日晚间，中国神华（601088.SH）发布一季度业绩公告。2026年第一季度，该公司营收703.97亿元，同比增加1.2%；归属于上市公司股东的净利润106.67亿元，同比减少10.7%；基本每股收益0.53元，同比减少11.8%。（央广财经）,2026-04-25 19:12:45,央广财经,http://finance.eastmoney.com/a/202604253719118910.html,601088,中国神华
